indic_ur,cities\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
CR1015V,CZ004L2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	39 	: 	: 	: 	39 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1015V,CZ005L2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17 	: 	: 	: 	19 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1015V,CZ006L2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12 	: 	: 	: 	14 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1015V,CZ007L2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	40 	: 	: 	: 	31 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1015V,CZ008L2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	33 	: 	: 	: 	35 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1015V,CZ009L2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14 	: 	: 	: 	16 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1015V,CZ010L2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9 	: 	: 	: 	9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1015V,CZ011L2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	37 	: 	: 	: 	36 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1015V,CZ013L2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	19 	: 	: 	: 	23 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1015V,CZ014L2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6 	: 	: 	: 	6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1015V,EE001L1	41 	36 	33 	33 	: 	: 	: 	55 	: 	: 	56 	: 	: 	: 	48 	: 	: 	40 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1015V,EE002L1	8 b	5 	3 	3 	: 	: 	: 	5 	: 	: 	6 	: 	: 	: 	5 	: 	: 	7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1015V,FI001L3	: 	37 	38 	37 	: 	: 	: 	39 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1015V,FI002L3	: 	9 	9 	9 	: 	: 	: 	6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1015V,FI003L4	: 	: 	17 	17 	: 	: 	: 	15 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1015V,FI004L4	: 	5 	5 	5 	: 	: 	: 	5 	: 	: 	5 	: 	: 	: 	5 	: 	: 	4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1015V,FI007L2	: 	7 	7 	7 	: 	: 	: 	8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1015V,FI008L2	: 	7 	4 	4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1015V,FI009L2	: 	5 	3 	3 	: 	: 	: 	7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1015V,FR	3710 	3735 	3760 	3774 	3777 	3764 b	: 	3836 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1015V,FR001L1	448 	442 	442 	443 	448 	450 b	: 	420 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1015V,FR003L2	73 	75 	79 	78 	78 	70 b	: 	67 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1015V,FR004L2	62 	65 	63 	62 	63 	61 b	: 	52 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1015V,FR006L2	23 	23 	23 	23 	23 	23 b	: 	21 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1015V,FR007L2	30 	31 	31 	32 	32 	32 b	: 	31 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1015V,FR008L2	30 	30 	29 	28 	27 	27 b	: 	34 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
