indic_ur,cities\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
DE3001V,ES009L2	171933 	171181 	170387 	170784 	170650 	169934 	166958 e	173928 e	161065 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES010L2	247366 	246309 	244605 	243551 	259171 	258437 	253721 e	261474 e	238703 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES011L2	76076 	76170 	75646 	75563 	75360 	74877 	71030 e	74077 e	70784 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES012L2	115744 	115054 	114089 	113800 	113003 	112274 	104750 e	113509 e	103330 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES013L2	130253 	129941 	129526 	130320 	129208 	129174 	127789 e	134115 e	123979 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES014L3	143454 	142170 	140612 	140165 	134551 	133053 	133470 e	140580 e	124660 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES015L2	151280 	150429 	149888 	150658 	152795 	150594 	146997 e	154528 e	142599 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES016L2	55324 	54915 	54549 	54411 	54860 	54598 	50219 e	54300 e	49194 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES017L2	68311 	67854 	67617 	67641 	66479 	65795 	63777 e	66489 e	63224 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES018L2	78599 	78101 	77605 	77745 	77342 	77016 	73687 e	78157 e	73289 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES019L3	427022 	423337 	420607 	421096 	411577 	410962 	397322 e	418389 e	393388 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES020L2	132608 	132261 	131804 	132077 	132189 	131579 	127971 e	133726 e	124538 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES021L2	179813 	179089 	178510 	177504 	182452 	181686 	177504 e	181507 e	176089 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES022L2	207178 	206543 	205392 	205857 	201021 	198793 	195625 e	202859 e	190462 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES023L2	130234 	130036 	129571 	129997 	129310 	129724 	126831 e	133169 e	123320 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES025L3	191657 	190101 	189385 	189369 	189562 	188993 	180440 e	181285 e	177680 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES026L2	169306 	168242 	167160 	166923 	163828 	165307 e	163050 e	169909 e	158250 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES028L1	44862 	44551 	44381 	44227 	44543 	44631 	44281 e	46128 e	43467 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES031L1	49902 	49883 	49895 	49966 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES033L1	63361 	62841 	62443 	61998 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES034L1	47187 	47048 	46829 	46880 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES035L1	36942 	36821 	36460 	38201 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES039L1	52622 	52740 	52775 	53219 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES040L1	37165 	37149 	37089 	37483 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES041L1	40534 	40421 	40254 	40380 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES043L1	63560 	63884 	64212 	64983 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES044L1	55959 	56158 	55012 	54366 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES046L1	42812 	42702 	42903 	43170 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES048L1	44645 	44174 	43641 	43352 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES050L1	48801 	48575 	48440 	48385 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES053L1	40153 	39926 	39618 	39779 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES054L1	61635 	61174 	62039 	63303 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES057L1	35736 	35678 	35667 	35945 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES059L1	29435 	29445 	29490 	29766 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES070L1	31502 	31353 	31121 	31069 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES072L1	40302 	39795 	39273 	38672 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES501L3	218870 	218072 	216644 	216141 	223698 	220345 	199807 e	207645 e	195294 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES505L1	97054 	96166 	95545 	95563 	95576 	95063 	98123 e	100030 e	92688 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES506L1	80773 	80315 	80026 	80930 	81704 	80993 	81517 e	83146 e	77127 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES508L1	80329 	80053 	79497 	79520 	81230 	80455 	77122 e	79952 e	75689 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES510L1	141768 	142239 	142059 	141784 	140365 	138528 	130566 e	138368 e	132185 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES514L1	83803 	83337 	82636 	82417 	83186 	81979 	76851 e	79542 e	76664 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES515L1	82098 	81592 	81325 	81523 	79928 	79718 	75297 e	80432 e	76170 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES516L1	85075 	84872 	84501 	85008 	85754 	85467 	80424 e	84446 e	82961 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES519L1	71768 	71611 	71100 	71067 	70257 	69904 	67339 e	70255 e	67815 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES520L1	93273 	92746 	92431 	92801 	93853 	94537 	91547 e	94152 e	92735 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES521L1	85356 	85269 	84953 	84988 	96443 	96056 	79883 e	83707 e	79757 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES522L1	95154 	95397 	95083 	95756 	94792 	94573 	92483 e	95965 e	91705 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES523L1	89723 	89719 	89688 	90571 	90921 	90469 	86522 e	92005 e	85039 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES525L1	83370 	82916 	82734 	82915 	84013 	83909 	81742 e	84812 e	79216 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES527L1	59009 	59542 	59027 	59365 	59251 	59292 	56192 e	59341 e	55959 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES528L1	70586 	70368 	70112 	70277 	72635 	72094 	70249 e	73009 e	65936 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES529L1	62218 	62030 	61797 	62008 	62992 	62628 	57300 e	60507 e	58208 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES532L1	51221 	51307 	52339 	51668 	53946 	53299 	48454 e	50465 e	48129 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES533L1	119630 	118653 	120186 	120282 	126708 	126741 	115327 e	112476 e	113662 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES537L1	28723 	28781 	28792 	28934 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES538L1	25697 	26280 	26343 	26481 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES542L1	23869 	23884 	23898 	24054 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES543L1	51738 	52856 	52245 	51844 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES544L1	22185 	22259 	22216 	22571 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES545L1	35470 	35575 	33225 	33156 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES546L1	32743 	32579 	32312 	32326 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES547L1	32799 	32848 	32761 	32935 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES550L1	39720 	39684 	39213 	39229 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,ES552L1	28068 	27840 	27626 	27586 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FI	2680077 	2654657 	2634339 	2617780 	2599613 	2579781 	2556068 	: 	2517393 	2499332 	2476505 	2453826 	2429500 	2402091 	: 	: 	: 	2329343 	2295386 	: 	: 	: 	2198791 	: 	: 	: 	: 	2065937 	: 
DE3001V,FI001L3	709475 	695797 	684730 	675652 	662232 	653534 	643630 	: 	628725 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FI002L3	216972 	213277 	210362 	208367 	179966 	177349 	174664 	: 	170114 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FI003L4	178050 	175764 	174098 	172497 	157638 	156293 	153566 	151997 	150527 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FI004L4	118721 	116804 	115092 	113489 	107916 	106099 	103242 	101551 	99702 	: 	: 	: 	: 	: 	: 	: 	: 	82416 	79738 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FI007L2	98163 	97296 	96646 	96074 	85255 	84965 	84297 	83711 	83030 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FI008L2	81571 	80971 	80304 	79753 	74067 	73132 	72269 	71596 	70990 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FI009L2	90468 	88920 	87483 	86359 	108185 	107438 	106368 	105417 	104491 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FR	: 	: 	29236888 	29011926 	28766069 	28515844 	28268898 	28041374 	27786425 b	27533526 	: 	: 	26696844 	: 	: 	: 	24728002 	24477238 	24147524 	23865351 	23679424 	23517868 	23273256 	22997918 	22687298 	22437247 	22220986 	21914554 	: 
DE3001V,FR001L1	: 	: 	5423341 	5383803 	5351629 	5317735 	5285664 	5263367 	5231490 b	4889198 	: 	: 	4829812 	: 	: 	: 	: 	: 	: 	4509623 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FR003L2	: 	: 	904587 	892659 	879949 	866179 	855578 	843940 	832420 b	795371 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FR004L2	: 	: 	633958 	623627 	612643 	601137 	589192 	578024 	567652 b	536869 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FR006L2	: 	: 	358723 	354624 	351227 	348387 	345090 	342666 	340390 b	325619 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FR007L2	: 	: 	568554 	558776 	548396 	537208 	526972 	517309 	508755 b	495622 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FR008L2	: 	: 	426694 	419622 	412002 	404195 	397134 	390297 	383639 b	370870 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FR009L2	: 	: 	637677 	632619 	627064 	621217 	614149 	608344 	604161 b	550220 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FR010L2	: 	: 	328944 	322976 	316727 	308854 	302536 	296627 	289151 b	279719 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FR011L2	: 	: 	215734 	214352 	212924 	211995 	210042 	207947 	206988 b	223664 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FR012L2	: 	: 	142883 	142937 	142392 	141447 	141197 	140932 	140466 b	128573 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FR013L2	: 	: 	301991 	297559 	293578 	288800 	283372 	278099 	273622 b	284386 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FR014L2	: 	: 	148314 	147188 	145623 	144573 	143756 	142983 	141822 b	129701 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FR016L2	: 	: 	232698 	231256 	229254 	228054 	227232 	226472 	225083 b	210650 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FR017L2	: 	: 	161869 	160292 	159004 	157841 	156504 	155422 	154686 b	156500 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FR018L2	: 	: 	161074 	160149 	158506 	157716 	155943 	154290 	152754 b	140684 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FR019L2	: 	: 	191211 	189283 	187733 	185506 	183872 	182300 	180799 b	176177 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FR020L2	: 	: 	189331 	187561 	185688 	184072 	182439 	181082 	179155 b	177353 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FR021L2	: 	: 	126947 	125871 	124763 	123906 	122784 	121769 	121010 b	119541 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FR022L2	: 	: 	232704 	230484 	228204 	226291 	223855 	222161 	220004 b	212578 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FR023L2	: 	: 	195621 	193567 	191598 	189720 	187686 	186053 	184447 b	183313 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FR024L2	: 	: 	157039 	156361 	155568 	154656 	154194 	153751 	153365 b	143486 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FR025L2	: 	: 	127073 	126414 	125522 	124728 	123466 	122474 	121618 b	119252 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FR026L2	: 	: 	299086 	298323 	295655 	293000 	289152 	286213 	282452 b	278689 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FR027L2	: 	: 	: 	: 	44315 	43604 	42744 	42461 	41657 	41128 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FR028L1	: 	: 	119672 	117751 	115301 	112675 	110575 	108740 	105989 b	73290 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FR030L1	: 	: 	144533 	144198 	143332 	142212 	141114 	140655 	138757 b	69480 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FR032L2	: 	: 	261473 	258342 	255506 	252314 	250598 	248328 	246478 b	246464 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FR034L2	: 	: 	136306 	135878 	135003 	134117 	133528 	132811 	131745 b	143011 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FR035L2	: 	: 	234149 	232297 	230621 	228520 	226730 	224807 	222444 b	201811 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FR036L2	: 	: 	188767 	186829 	184567 	182171 	180225 	177854 	175343 b	170925 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FR037L2	: 	: 	169890 	168530 	166922 	165214 	163756 	162365 	160875 b	159784 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FR038L2	: 	: 	162432 	161581 	161068 	160381 	159341 	157880 	156787 b	150419 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FR039L1	: 	: 	144764 	143391 	141999 	140027 	138399 	137226 	135509 b	132567 	: 	: 	: 	: 	: 	: 	: 	: 	: 	117424 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FR040L2	: 	: 	171129 	170572 	169976 	169594 	168039 	166536 	165172 b	167267 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FR042L2	: 	: 	110444 	110234 	109648 	109202 	108576 	108175 	107411 b	110155 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FR043L2	: 	: 	186371 	183856 	180827 	178426 	175570 	173260 	170660 b	167705 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FR044L2	: 	: 	148005 	146894 	145688 	144615 	141507 	138994 	136041 b	136582 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FR045L2	: 	: 	127415 	126159 	125183 	123766 	122571 	121488 	120739 b	116212 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FR046L2	: 	: 	126924 	124319 	121996 	120264 	118674 	116065 	114103 b	109236 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FR048L2	: 	: 	126828 	124925 	122791 	120379 	117735 	116417 	114694 b	110231 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FR049L2	: 	: 	105355 	104414 	103616 	102825 	101542 	100370 	99606 b	105866 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FR050L2	: 	: 	: 	: 	82966 	82783 	82800 	82714 	82442 	81766 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FR051L2	: 	: 	96013 	95222 	94032 	92887 	92100 	91165 	90012 b	88888 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FR052L2	: 	: 	82169 	81344 	80509 	79240 	77533 	76730 	76135 b	97891 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FR053L2	: 	: 	106590 	105361 	103684 	101933 	100402 	99188 	97909 b	96172 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FR056L2	: 	: 	: 	: 	92121 	91369 	90936 	89922 	89010 	88514 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FR057L2	: 	: 	68521 	68302 	67963 	67751 	67235 	66796 	66711 b	66687 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FR058L2	: 	: 	88685 	87743 	86603 	85544 	84580 	83492 	81922 b	94588 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FR059L2	: 	: 	: 	: 	72329 	72067 	71640 	71075 	70531 	70047 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FR060L2	: 	: 	71911 	71529 	71157 	70364 	70080 	69656 	68482 b	64929 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FR061L2	: 	: 	: 	: 	78380 	77485 	77135 	76672 	75791 	74670 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FR062L2	: 	: 	60490 	60588 	60418 	60084 	59548 	58949 	58444 b	55603 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FR063L2	: 	: 	84653 	83707 	82936 	81543 	79925 	78392 	77558 b	74848 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,FR064L2	: 	: 	68453 	67835 	67482 	66925 	66379 	65722 	65254 b	66169 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
